id_client,score_credit,age,anciennete,solde,nb_produits,carte_credit,membre_actif,salaire_estime,pays,genre,churn
1,452,71,7,210647.09,2,0,1,127809.06,Allemagne,Femme,0
2,785,30,4,201375.78,2,1,1,117649.4,France,Homme,1
3,698,36,5,182768.97,2,0,0,141257.0,France,Femme,0
4,620,46,6,115807.41,4,1,1,68520.92,Allemagne,Femme,0
5,456,20,3,80984.78,2,1,1,24974.34,Allemagne,Homme,1
6,421,43,13,152182.62,1,1,0,61446.89,Espagne,Homme,0
7,538,57,13,219055.82,4,1,1,47605.73,Allemagne,Femme,0
8,370,76,5,220944.36,1,1,1,185860.31,France,Homme,0
9,452,75,6,27124.59,4,1,1,172668.48,Espagne,Femme,1
10,471,75,10,107087.57,4,1,1,73777.07,France,Femme,1
11,816,29,14,116180.49,3,1,0,169672.82,Allemagne,Femme,0
12,564,19,5,244403.84,4,0,0,54174.25,France,Femme,1
13,680,28,10,169499.5,4,1,0,51922.16,Allemagne,Femme,0
14,808,61,12,101811.6,1,1,0,156994.05,Espagne,Femme,1
15,437,45,14,6514.47,1,1,1,75482.16,Allemagne,Femme,1
16,722,35,11,141346.29,2,1,1,26986.64,France,Femme,0
17,449,30,5,24018.99,3,0,1,148197.52,Espagne,Homme,0
18,709,54,1,208612.49,4,0,1,198076.26,France,Femme,0
19,501,39,4,188129.67,3,0,1,119705.88,France,Homme,0
20,480,29,2,115127.29,2,1,0,63778.5,Espagne,Femme,0
21,499,19,6,107302.69,3,0,1,83987.55,Allemagne,Femme,0
22,658,54,3,224334.74,4,1,1,135000.17,Allemagne,Homme,0
23,607,24,0,72114.59,1,1,1,144755.23,Allemagne,Femme,1
24,693,43,11,62254.99,3,1,1,178971.46,France,Femme,0
25,841,43,11,234799.36,4,0,1,183134.54,France,Femme,0
26,763,41,5,202311.46,2,0,0,174336.52,France,Femme,1
27,643,29,5,205156.4,4,1,1,134970.82,France,Homme,0
28,735,33,6,48798.45,3,0,1,98222.69,France,Homme,0
29,541,40,14,35824.0,4,0,1,140671.51,France,Femme,0
30,793,57,10,6507.39,4,0,1,138314.61,Allemagne,Homme,1
31,626,79,7,59260.38,3,1,1,55326.84,France,Femme,1
32,510,77,14,193547.62,3,1,1,108897.42,France,Homme,0
33,809,26,2,60009.6,2,0,0,53519.73,France,Femme,1
34,663,49,13,182275.82,4,1,1,181337.9,France,Homme,0
35,371,32,5,62977.07,1,0,1,74800.86,France,Homme,1
36,602,54,9,98823.12,3,1,0,164003.81,Allemagne,Femme,1
37,585,30,1,245790.57,4,0,1,84787.01,France,Femme,1
38,694,22,12,61202.93,1,1,1,156291.19,France,Homme,0
39,398,28,13,94092.66,1,0,1,55868.8,Espagne,Homme,1
40,824,27,8,75271.8,4,1,1,156292.5,France,Femme,0
41,408,69,1,27406.25,4,0,0,48213.43,Espagne,Femme,1
42,519,30,2,122473.54,4,1,1,105801.24,Espagne,Homme,0
43,825,58,11,94672.67,1,1,1,36020.95,Allemagne,Femme,0
44,537,70,14,173721.77,4,1,1,112661.14,Allemagne,Homme,1
45,813,63,14,204398.64,3,1,1,166832.15,Allemagne,Femme,0
46,620,67,12,136062.43,1,0,1,154776.19,Espagne,Homme,0
47,539,32,9,8049.11,3,0,1,24382.31,Allemagne,Homme,0
48,795,59,11,154730.59,3,0,0,106052.85,France,Homme,1
49,524,73,11,13847.68,4,0,1,172661.68,France,Femme,0
50,795,24,1,154089.08,3,1,1,135269.15,France,Femme,0
51,400,57,8,171257.49,4,1,1,25952.24,France,Femme,1
52,713,45,0,49441.91,1,0,1,75241.92,France,Femme,1
53,404,49,4,204836.54,3,1,1,117968.57,Allemagne,Homme,0
54,593,52,0,227771.28,4,0,1,46940.52,Allemagne,Homme,0
55,669,32,4,203271.74,2,1,1,141154.1,Allemagne,Femme,1
56,480,65,7,76277.3,4,1,1,132446.59,France,Femme,0
57,834,53,7,146660.75,2,1,1,52452.19,France,Homme,0
58,656,38,10,228703.79,4,1,1,116823.62,Allemagne,Femme,1
59,484,23,7,80166.18,2,1,0,165167.93,France,Homme,0
60,370,18,1,205006.96,3,1,1,84342.94,Allemagne,Femme,1
61,678,21,7,2368.78,2,0,0,60692.52,France,Femme,1
62,516,28,11,911.68,3,1,1,144725.81,Allemagne,Homme,1
63,623,61,4,189927.92,3,1,0,28098.8,Allemagne,Homme,1
64,737,43,14,190361.9,4,1,1,169044.65,Allemagne,Femme,0
65,438,78,0,197244.3,3,1,1,189539.91,France,Homme,1
66,665,54,6,232506.71,1,1,1,193485.6,Espagne,Homme,0
67,363,40,12,29476.58,2,1,1,95019.67,France,Homme,1
68,591,46,5,57996.25,4,0,0,130292.53,France,Homme,1
69,614,38,4,225931.23,3,1,1,173612.44,Allemagne,Homme,0
70,695,65,0,44309.05,2,1,0,56333.44,France,Femme,0
71,402,62,13,170557.32,2,1,0,20124.99,France,Femme,0
72,735,62,13,132615.75,1,0,1,86144.75,Allemagne,Femme,0
73,689,66,0,20798.42,2,1,1,178608.65,France,Femme,1
74,441,44,5,71315.92,4,1,0,108438.3,Allemagne,Femme,1
75,716,56,9,130093.05,4,0,1,113090.51,Allemagne,Femme,1
76,793,57,11,213087.53,3,1,0,142922.7,France,Femme,0
77,804,30,6,176884.62,3,0,1,121285.69,Allemagne,Homme,0
78,777,40,9,155470.79,4,0,1,25078.18,France,Homme,0
79,613,76,9,124008.22,2,1,1,118759.12,Allemagne,Homme,0
80,780,33,0,74671.0,2,1,1,134872.39,France,Femme,0
81,384,47,8,29811.23,1,1,1,133695.22,Allemagne,Homme,1
82,555,78,14,102269.01,3,1,1,149743.67,Allemagne,Femme,1
83,430,21,3,7129.62,2,0,1,111185.25,Espagne,Femme,1
84,769,57,4,52763.97,2,1,1,181510.88,France,Femme,0
85,399,33,1,108120.84,3,1,1,100888.21,France,Homme,0
86,709,48,13,104651.3,4,0,1,110864.5,France,Homme,0
87,737,70,11,11073.86,2,1,1,159356.56,France,Femme,1
88,351,59,9,147265.04,1,1,1,169148.47,France,Femme,1
